Indv_ID,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_1,1.333333333,7.666666667,72,6027.346667,1942.666667,642.3333333,0.337494,114327.6667,608124,0.186775,61243.66667,27.2687,13.22063333,131.056,9361.18,8766666.667,521791,15.66666667,1061.477667,0.149666667,58.22263333,0.184487667,0.236488333,0.579023667,0.1186536,0.274584,0.606762333
160_271_2,1.666666667,8.666666667,89.66666667,6124.556667,1498.666667,413.3333333,0.271224667,107012.3333,402336.3333,0.339596333,41953.66667,31.37513333,16.9778,119.304,8587.67,8426666.667,549865,21.66666667,813.0933333,0.120333333,57.09093333,0.235689667,0.182359333,0.581951,0.140089367,0.300209667,0.559701333
160_271_5,3,13.5,156.5,10633.905,1523,866.5,0.5647725,110906.5,828211.5,0.137189,74258,17.16215,9.89949,112.5835,15623.7,5540000,540752,72,2237.943,0.1625,53.0986,0.2410765,0.293106,0.465817,0.197978,0.325394,0.4766285
160_271_7,3,11.66666667,197.6666667,15029.36333,2025,1035.666667,0.544554333,168416.3333,1075984.667,0.148296667,138476.6667,17.2884,11.65853333,121.4780333,21667.4,8156666.667,817762,93.66666667,765.5523333,0.212666667,55.71876667,0.201371333,0.264966333,0.533662333,0.188319,0.259664333,0.552016667
160_271_11,3,16.33333333,213.6666667,14978.97667,1663.333333,1198.666667,0.755671333,146661.3333,1191514.333,0.124413667,135347.6667,15.22673333,10.14807,118.3126667,22509.13333,5880000,692567,90,1417.320667,0.217,51.00483333,0.245865333,0.326259,0.427875667,0.206259667,0.301019667,0.492720667
160_271_12,3.666666667,19.33333333,266.3333333,22097.16667,2237.666667,1195,0.542334333,224600,1573333.333,0.145804333,175374,17.16113333,9.64809,134.3946667,31959.73333,12633333.33,1138533.333,162.6666667,1175.857,0.263333333,53.9314,0.220932333,0.292720667,0.486346667,0.213088333,0.336739333,0.450171333
160_271_13,3,14,145,14380.93333,2057.333333,837.6666667,0.406383667,214982.3333,1048102.667,0.214278333,142826.6667,25.76263333,13.1388,172.214,20472.66667,21466666.67,1187175.333,58.33333333,1493.593,0.201333333,55.3446,0.221404,0.25019,0.528406333,0.124071367,0.254275,0.621653667
160_271_14,5,17.33333333,251.3333333,21115.73333,1825.666667,894.3333333,0.504062,181376.3333,1102102.333,0.169862667,156618,14.37463333,9.087573333,118.811,30262.2,7580000,920431.6667,194.3333333,653.5126667,0.216333333,52.82006667,0.231506667,0.29846,0.470033333,0.217336667,0.352096667,0.430567333
160_271_15,3,11.66666667,114,9713.24,1676.666667,1170.333333,0.710595,129040,1068272,0.1230387,85616.33333,18.9087,10.25676667,125.1686667,15752.73333,7876666.667,578433.3333,28.33333333,1118.2,0.194,57.4992,0.172537367,0.286814,0.540649,0.139655333,0.377432667,0.482911667
160_271_16,4,18.33333333,245.6666667,25019.56667,2246.333333,1266.666667,0.569636333,297583.6667,1793333.333,0.169676333,253644.6667,20.9694,12.0742,164.7456667,36628.5,19966666.67,1510000,150.3333333,1952.646667,0.283666667,53.063,0.220669,0.304372667,0.474959,0.133840733,0.278458333,0.587700667
160_271_17,1.333333333,10.33333333,59.66666667,6767.95,1572.666667,811.6666667,0.502032667,120570.3333,684734.6667,0.219069,84025.33333,28.24273333,10.066,137.0453333,10762.30667,9926666.667,556042.3333,18.33333333,1268.332333,0.150666667,56.53683333,0.215266667,0.241979667,0.542753,0.146549333,0.368026333,0.485424667
160_271_19,2.333333333,12,94.33333333,11583.27667,2194,1100.333333,0.514843,172687.6667,1373333.333,0.126557667,113688.6667,21.54743333,11.1398,139.6613333,18814.8,11620000,776937.6667,35.66666667,3383.854667,0.224,56.66183333,0.183249,0.278310667,0.53844,0.1421,0.326411,0.531488667
160_271_20,4,20.33333333,246,20427.36667,1864.666667,1129.666667,0.624476333,219975.6667,1317207,0.167976,176519,17.38393333,10.25676667,141.801,29252.06667,13626666.67,1133848,141.6666667,711.7266667,0.233,54.26603333,0.215354,0.284098667,0.500547333,0.185613,0.332740333,0.481646667
